222.22 0.0000
219.76 0.0000
217.34 0.0000
214.98 0.0000
212.67 0.0000
210.41 0.0027219
208.20 0.0084500
206.04 0.016992
203.91 0.026791
201.83 0.041966
199.80 0.053587
197.80 0.065990
195.85 0.078098
193.93 0.092728
192.05 0.11506
190.20 0.13633
188.39 0.17824
186.62 0.25147
184.87 0.32151
183.16 0.31284
181.48 0.29195
179.84 0.31435
178.22 0.42868
176.63 0.60846
175.07 0.62875
173.53 0.55359
172.02 0.53831
170.54 0.55254
169.09 0.56859
167.65 0.59429
166.25 0.59552
164.86 0.61846
163.50 0.65930
162.16 0.69283
160.84 0.75023
159.55 0.83668
158.27 0.95340
157.02 1.0445
155.78 1.0459
154.57 1.0703
153.37 1.0572
152.19 1.0907
151.03 1.1904
149.89 1.2310
148.76 1.2639
147.65 1.1914
146.56 1.2041
145.48 1.1688
144.42 1.1397
143.37 1.1284
142.34 1.0435
141.33 1.0945
140.33 1.0380
139.34 0.91271
138.36 0.86947
137.40 0.84163
136.46 0.88027
135.52 0.88815
134.60 0.86341
133.69 0.76439
132.80 0.74981
131.91 0.80978
131.04 0.83168
130.18 0.83774
129.33 0.79048
128.49 0.75778
127.66 0.75104
126.84 0.75179
126.03 0.72134
125.24 0.59711
124.45 0.57266
123.67 0.58414
122.91 0.53830
122.15 0.48827
121.40 0.43748
120.66 0.47294
119.93 0.45735
119.21 0.44562
118.49 0.42094
117.79 0.39194
117.09 0.40422
116.40 0.37329
115.72 0.36515
115.05 0.30962
114.38 0.21535
113.73 0.17053
113.08 0.15703
112.44 0.10597
111.80 0.059310
111.17 0.031758
110.55 0.016922
109.94 0.0084191
109.33 0.0037752
108.73 0.0014545
108.14 0.00069576
107.55 0.00049086
106.97 0.00025060
106.39 0.00010367
105.83 5.2249e-05
105.26 0.0000
