1000.0000  1.0080e-05
990.0990  1.0950e-05
980.3922  1.1180e-05
971.8173  1.1920e-05
962.4639  1.2030e-05
953.2888  1.1940e-05
944.2871  1.3120e-05
936.3296  1.4180e-05
927.6438  1.4740e-05
919.1176  1.4440e-05
910.7468  1.4410e-05
902.5271  1.1500e-06
895.2551  1.0990e-06
887.3114  1.1600e-06
879.5075  1.1290e-06
871.8396  1.0890e-06
864.3042  1.0670e-06
857.6329  1.1710e-06
850.3401  1.2400e-06
843.1703  1.2860e-06
836.1204  1.2620e-06
829.8755  1.2110e-06
823.0453  1.1650e-06
816.3265  1.0680e-06
809.7166  9.6860e-07
803.2129  9.2360e-07
797.4482  8.7840e-07
791.1392  8.0390e-07
784.9294  7.9410e-07
778.8162  7.5530e-07
772.7975  7.6150e-07
767.4597  7.3400e-07
761.6146  6.8900e-07
755.8579  6.4960e-07
750.1875  6.5390e-07
745.1565  6.6990e-07
739.6450  6.9280e-07
734.2144  7.7100e-07
728.8630  8.4910e-07
723.5890  8.7490e-07
718.9073  8.5990e-07
713.7759  8.1080e-07
708.7172  7.5840e-07
703.7298  6.7880e-07
698.8120  6.7860e-07
694.4444  7.4460e-07
689.6552  8.5060e-07
684.9315  9.7400e-07
680.2721  1.0950e-06
676.1325  1.1420e-06
671.5917  1.1450e-06
667.1114  1.0760e-06
662.6905  1.0150e-06
658.3278  8.9970e-07
654.4503  8.2680e-07
650.1951  8.6360e-07
645.9948  9.1790e-07
641.8485  1.0130e-06
637.7551  1.1170e-06
634.1154  1.1870e-06
630.1197  1.2310e-06
626.1741  1.2770e-06
622.2775  1.2540e-06
618.8119  1.2170e-06
615.0062  1.1900e-06
611.2469  1.1750e-06
607.5334  1.1800e-06
603.8647  1.1840e-06
600.6006  1.1710e-06
597.0149  1.1900e-06
593.4718  1.1790e-06
589.9705  1.1120e-06
586.5103  1.0560e-06
583.4306  1.0520e-06
580.0464  1.0330e-06
576.7013  1.0830e-06
573.3945  1.1720e-06
570.4507  1.2430e-06
567.2150  1.3040e-06
564.0158  1.3360e-06
560.8525  1.2650e-06
557.7245  1.2250e-06
554.9390  1.2270e-06
551.8764  1.1650e-06
548.8474  1.1330e-06
545.8515  1.0990e-06
543.1831  9.8440e-07
540.2485  8.8430e-07
537.3455  8.2390e-07
534.4735  7.6900e-07
531.6321  7.4820e-07
529.1005  7.3270e-07
526.3158  7.1890e-07
523.5602  6.6740e-07
520.8333  6.0920e-07
518.1347  5.5430e-07
515.7298  5.0360e-07
513.0836  4.7330e-07
510.4645  4.8870e-07
507.8720  5.1040e-07
505.5612  5.7370e-07
503.0181  6.7450e-07
500.5005  7.8880e-07
498.0080  9.4770e-07
495.5401  1.1480e-06
493.3399  1.3290e-06
490.9180  1.4840e-06
488.5198  1.6000e-06
486.1449  1.6660e-06
483.7929  1.7390e-06
481.6956  1.7970e-06
479.3864  1.9880e-06
477.0992  2.1580e-06
474.8338  2.4530e-06
472.8132  2.7830e-06
470.5882  3.1240e-06
468.3841  3.4330e-06
466.2005  3.7310e-06
464.0371  3.8870e-06
462.1072  4.0690e-06
459.9816  4.1980e-06
